,Country,2019,2020,2021,2022,2023,2024
135,Lithuania,1093.819973130318,1174.056765074661,1306.7644276253548,1734.3727649835503,2162.912001244593,2627.47414171702
136,North Macedonia,146.09338039957785,153.53748289507746,205.55566324849283,220.21418736261475,266.629712724026,353.68497998573173
137,Montenegro,73.96215853112406,82.9203237205061,91.13765373699148,98.01151901183874,114.26052609971435,150.03320850397313
138,Poland,11786.153846153848,13718.291431503332,15295.541731467083,15341.313422532776,26342.76430158256,38000.72865237
139,Romania,4613.0403968816445,5052.321470657554,5300.529355149182,5187.965337043869,5628.033535951844,8715.729594321898
140,Serbia,1178.580562873011,1282.5293327097188,1813.0077423878124,1451.3488372826162,1796.87944010484,2322.8301016066002
141,Slovakia,1802.5078369905955,2047.1902427903797,2064.8060548722797,2085.664762257356,2441.648912493896,2849.2247382802107
142,Slovenia,572.8840125391849,567.6507466089138,762.7719962157048,775.1562933856135,912.9174031227177,951.9049998810118
143,Yugoslavia,xxx,xxx,xxx,xxx,xxx,xxx
144,Eastern Europe,,,,,,
145,Armenia,652.0001748240832,633.9604001152595,619.4354717100929,795.2015800497068,1326.2456793866893,1418.0117107942972
146,Azerbaijan,1854.235294117647,2237.7647058823527,2703.1764705882356,2991.035294117647,3561.6705882352944,3777.088235294118
147,Belarus,899.7106855079741,861.0532786885246,951.2388230196557,1105.1747413049677,1579.3310785419017,1491.3917684836376
148,Georgia,310.61412850550226,287.86407766990294,300.48943443132384,401.3817261846843,508.40141939870364,615.8640455928504
149,Moldova,43.00932857307383,44.53378065710319,51.303602882305846,52.3309486841982,94.36290535631728,110.72550200012377
150,Russia,65201.335848356466,61712.53716893713,65907.7050471045,102366.63645968008,109203.62473837858,148967.27514048334
151,Ukraine,6262.432160712211,6838.766421177517,6898.123104359392,41183.92747281194,64908.02532704768,64704.99002547817
152,USSR,xxx,xxx,xxx,xxx,xxx,xxx
153,Western Europe,,,,,,
154,Austria,3336.5427675772503,3840.0775105437137,4196.428571428572,3612.7331779514843,4452.227950613869,5258.6939918258195
155,Belgium,4761.195700850873,5317.4512709449455,6239.356669820246,6890.161299822461,7629.396588605927,8561.520105747992
156,Cyprus,463.6139722346619,483.4150233671492,541.8046357615895,532.5123898794249,558.8783108111028,598.1857556070449
157,Denmark,4487.779277252962,4887.155963302753,5273.695928753181,5475.015487991187,8132.606555213822,9958.899778691117
158,Finland,3635.2440662785493,3868.6880200615524,3831.5988647114473,4446.368019386269,5928.02105436018,6987.848067308337
159,France,50454.545454545456,53423.00239370797,58734.626300851465,54677.44242597626,59491.96416610127,64675.01530619972
160,Germany,49079.4446932378,53318.70511797561,56513.12677388836,56153.121239913504,67285.19863786241,88458.47638951086
161,Greece,5383.116883116883,5773.281659637524,8299.905392620625,8745.382718957988,7014.878933107463,8021.963044451801
162,Iceland,0,0,0,0,0,0
163,Ireland,1112.7407075682938,1144.420380713553,1267.7388836329233,1164.3120987488114,1269.225284246827,1330.5035793791415
164,Italy,26380.673981191223,32929.09381055512,36232.72232734153,34691.881158127675,36933.180928345166,37964.57831690215
165,Luxembourg,381.7733990147783,425.16812948820245,403.26395458845786,509.90855922039185,662.4924663457452,871.6431411964221
166,Malta,80.26757725033588,86.28747292830275,87.95056764427625,79.01756039277392,112.63672153534341,109.25489636134313
